City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,24.24,82,100,6.86,PN,1707170690
1,anadyr,64.75,177.4833,-22.72,77,100,7.0,RU,1707170983
2,port-aux-francais,-49.35,70.2167,5.94,82,99,12.42,TF,1707170983
3,whitehorse,60.7161,-135.0538,-11.06,95,100,1.22,CA,1707170983
4,vilyuchinsk,52.9306,158.4028,-9.85,76,78,3.78,RU,1707170983
5,ilulissat,69.2167,-51.1,-19.99,71,100,0.51,GL,1707170984
6,freetown,8.484,-13.2299,25.72,81,0,3.02,SL,1707170984
7,bargaal,11.2864,51.0773,23.94,85,20,2.18,SO,1707170984
8,waitangi,-43.9535,-176.5597,18.79,86,97,8.12,NZ,1707170984
9,longyearbyen,78.2186,15.6401,-4.09,68,75,5.14,SJ,1707170984
10,iqaluit,63.7506,-68.5145,-19.06,77,100,1.63,CA,1707170917
11,yellowknife,62.456,-114.3525,-21.36,76,9,1.34,CA,1707170985
12,amga,60.8953,131.9608,-32.22,100,100,0.66,RU,1707170985
13,rikaze,29.25,88.8833,-3.34,28,0,1.82,CN,1707170986
14,margate,51.3813,1.3862,11.06,77,100,5.36,GB,1707170917
15,inarajan village,13.2736,144.7484,27.54,84,99,8.37,GU,1707170986
16,sao vicente,-23.9631,-46.3919,29.59,26,37,0.89,BR,1707170986
17,iguape,-24.7081,-47.5553,25.77,85,73,2.65,BR,1707170987
18,blackmans bay,-43.0167,147.3167,13.18,65,51,1.88,AU,1707170612
19,codrington,-38.2667,141.9667,16.39,57,3,4.68,AU,1707170814
20,port mathurin,-19.6833,63.4167,25.67,69,59,7.4,MU,1707170988
21,bethel,41.3712,-73.414,4.14,48,0,6.17,US,1707170896
22,murun-kuren,49.6342,100.1625,-22.49,98,95,0.88,MN,1707170802
23,coquimbo,-29.9533,-71.3436,19.79,79,7,2.74,CL,1707170988
24,lerma,42.0261,-3.7598,3.31,66,100,0.08,ES,1707170989
25,port elizabeth,-33.918,25.5701,21.17,96,61,1.34,ZA,1707170913
26,puerto natales,-51.7236,-72.4875,16.25,33,20,13.38,CL,1707170895
27,sarangani,5.4033,125.4636,26.62,81,100,7.55,PH,1707170990
28,edinburgh of the seven seas,-37.0676,-12.3116,15.78,64,1,2.41,SH,1707170692
29,semera,11.501,41.201,23.9,60,24,1.68,ET,1707170990
30,grytviken,-54.2811,-36.5092,6.99,74,90,5.79,GS,1707170887
31,mana,5.6592,-53.7767,26.55,83,100,4.71,GF,1707170991
32,kerikeri,-35.2268,173.9474,22.17,76,1,0.45,NZ,1707170991
33,saudarkrokur,65.7461,-19.6394,-7.93,87,100,4.79,IS,1707170921
34,isafjordur,66.0755,-23.124,-8.33,76,100,3.86,IS,1707170903
35,eureka,40.8021,-124.1637,10.97,96,100,0.89,US,1707170836
36,daru,-9.0763,143.2092,26.45,89,100,3.05,PG,1707170798
37,west sedona,34.8672,-111.8054,15.28,43,100,0.45,US,1707170992
38,taitung city,22.7583,121.1444,18.71,85,72,4.23,TW,1707170992
39,lincheng,19.9078,109.6858,21.19,93,48,4.33,CN,1707170993
40,berwick-upon-tweed,55.7833,-2.0,11.13,76,100,10.55,GB,1707170993
41,kogalym,62.2654,74.4791,-11.18,95,100,8.01,RU,1707170993
42,bodo,67.28,14.405,-4.01,74,0,7.2,NO,1707170994
43,lebowakgomo,-24.2,29.5,14.25,61,41,2.92,ZA,1707170994
44,talnakh,69.4865,88.3972,-23.18,89,94,2.22,RU,1707170921
45,labytnangi,66.6572,66.4183,-25.63,99,100,1.93,RU,1707170995
46,albany,42.6001,-73.9662,1.52,45,1,2.22,US,1707170603
47,jayapura,-2.5333,140.7,27.66,90,96,1.68,ID,1707170995
48,taoudenni,22.6783,-3.9836,20.33,11,96,4.83,ML,1707170996
49,sheridan,44.8333,-106.9173,15.25,54,0,2.57,US,1707170996
50,carutapera,-1.195,-46.02,25.85,88,25,3.02,BR,1707170996
51,invercargill,-46.4,168.35,20.57,73,100,3.58,NZ,1707170911
52,lompoc,34.6391,-120.4579,16.55,65,100,6.17,US,1707170920
53,kavaratti,10.5669,72.642,27.86,74,72,3.66,IN,1707170912
54,champerico,14.3,-91.9167,33.3,65,3,6.62,GT,1707170997
55,oleksandrivka,48.9634,32.2349,2.09,75,83,9.58,UA,1707170998
56,chuguyevka,44.1653,133.8633,-22.93,100,98,1.4,RU,1707170998
57,remire-montjoly,4.9167,-52.2667,28.02,89,75,5.14,GF,1707170998
58,sirte,31.2089,16.5887,15.36,74,0,2.54,LY,1707170998
59,tindouf,27.6711,-8.1474,13.15,38,80,4.44,DZ,1707170999
60,stanley,54.868,-1.6985,10.77,81,75,9.77,GB,1707170999
61,pangody,65.85,74.4859,-24.22,99,57,4.24,RU,1707170999
62,palma di montechiaro,37.1926,13.765,11.32,68,0,3.11,IT,1707170999
63,jaicos,-7.3592,-41.1378,31.63,29,97,1.41,BR,1707171000
64,papatowai,-46.5619,169.4708,21.38,56,100,4.27,NZ,1707170893
65,conception bay south,47.4999,-52.9981,1.14,98,100,5.4,CA,1707170939
66,antsiranana,-12.2787,49.2917,24.32,94,64,1.59,MG,1707171001
67,alice springs,-23.7,133.8833,24.01,38,100,7.72,AU,1707171001
68,andong,36.5656,128.725,-1.26,95,90,0.85,KR,1707171002
69,igarka,67.4667,86.5833,-26.63,99,47,2.58,RU,1707171002
70,lexington,37.9887,-84.4777,15.62,33,0,5.66,US,1707171003
71,san matias,-16.3667,-58.4,27.8,66,100,2.01,BO,1707171004
72,george town,5.4112,100.3354,26.64,89,20,0.0,MY,1707170905
73,vadso,70.0744,29.7487,-6.91,86,75,3.6,NO,1707171005
74,ungsang-nodongjagu,42.3578,130.4622,-6.19,44,100,0.99,KP,1707171006
75,olonkinbyen,70.9221,-8.7187,-2.81,70,72,8.76,SJ,1707170919
76,hamilton,39.1834,-84.5333,12.19,50,0,5.14,US,1707170727
77,trairi,-3.2778,-39.2689,27.64,76,19,5.98,BR,1707170892
78,college,64.8569,-147.8028,-14.0,76,20,0.0,US,1707170930
79,margaret river,-33.95,115.0667,11.51,89,78,3.78,AU,1707170900
80,ta`u,-14.2336,-169.5144,27.5,81,91,2.3,AS,1707171008
81,fort bragg,35.139,-79.006,14.08,30,0,3.6,US,1707170756
82,west island,-12.1568,96.8225,26.99,89,40,3.6,CC,1707170677
83,port alfred,-33.5906,26.891,21.77,96,5,0.5,ZA,1707171009
84,mount hagen,-5.8581,144.2274,17.04,92,95,1.39,PG,1707171009
85,nemuro,43.3236,145.575,-7.71,78,98,5.79,JP,1707170912
86,ust-nera,64.5667,143.2,-27.39,85,100,0.4,RU,1707170760
87,ushuaia,-54.8,-68.3,11.81,50,0,9.26,AR,1707170678
88,luchegorsk,46.4764,134.2569,-28.88,100,98,0.67,RU,1707171011
89,cabo san lucas,22.8909,-109.9124,30.9,41,20,3.09,MX,1707170761
90,bredasdorp,-34.5322,20.0403,21.82,76,1,0.75,ZA,1707171011
91,aasiaat,68.7098,-52.8699,-30.03,88,16,3.71,GL,1707170917
92,horta,38.5333,-28.6333,17.23,92,100,6.71,PT,1707171012
93,bulungu,-4.55,18.6,21.68,96,89,0.56,CD,1707171012
94,i-n-salah,27.1935,2.4607,15.04,27,4,6.52,DZ,1707171013
95,port-vila,-17.7338,168.3219,27.78,78,75,0.51,VU,1707170765
96,thompson,55.7435,-97.8558,-0.91,93,100,1.03,CA,1707170905
97,san juan nepomuceno,9.9516,-75.082,31.41,55,88,4.73,CO,1707171014
98,valparaiso,-33.0393,-71.6273,22.22,57,0,4.63,CL,1707170925
99,puerto ayora,-0.7393,-90.3518,29.98,93,75,2.68,EC,1707170907
100,yarmouth,41.7057,-70.2286,2.58,65,100,10.28,US,1707171015
101,sao joao da barra,-21.6403,-41.0511,27.05,87,100,4.32,BR,1707170913
102,bethanie,-26.4833,17.15,27.67,29,7,4.61,NA,1707171015
103,chernyshevskiy,63.0128,112.4714,-19.87,99,100,0.88,RU,1707171016
104,hawaiian paradise park,19.5933,-154.9731,23.35,78,75,3.09,US,1707171016
105,tiksi,71.6872,128.8694,-32.65,96,50,1.52,RU,1707170928
106,enewetak,11.3474,162.3373,26.48,73,93,8.32,MH,1707170762
107,peddapalli,18.6167,79.3667,22.92,64,0,1.56,IN,1707170907
108,kismayo,-0.3582,42.5454,26.75,86,69,6.42,SO,1707171018
109,saipan,15.1355,145.701,26.39,65,40,6.17,MP,1707171018
110,gornopravdinsk,60.05,69.9,-0.18,98,100,3.66,RU,1707171018
111,sydney,-33.8679,151.2073,22.97,91,75,6.69,AU,1707170500
112,mahibadhoo,3.7833,72.9667,27.46,82,56,8.2,MV,1707171020
113,walvis bay,-22.9575,14.5053,21.68,73,13,6.19,NA,1707171020
114,xianning,29.8833,114.2167,-0.04,99,100,3.09,CN,1707171022
115,punta arenas,-53.15,-70.9167,13.06,50,20,10.8,CL,1707170931
116,nizhniy lomov,53.5304,43.6766,-4.02,94,100,6.24,RU,1707171023
117,bengkulu,-3.8004,102.2655,24.66,90,100,1.71,ID,1707171025
118,kill devil hills,36.0307,-75.676,8.0,78,75,5.14,US,1707171026
119,birobidzhan,48.8,132.95,-27.32,98,23,1.23,RU,1707171027
